series_key,model,rank,avg_rmse,avg_mae,avg_mape,is_best
monthly_branch_wise_BLR,prophet,1,653.9792284053607,526.1477349519878,16.060194750864646,True
monthly_branch_wise_BLR,holt_winters,2,847.1679415824079,746.5766154210376,28.412773492020193,False
monthly_branch_wise_BLR,quantile_regression,3,2750.526316407351,2358.3720648038807,50.085093908357976,False
monthly_branch_wise_BLR,random_forest,4,2784.461475286223,2254.530248671783,36.25244010021508,False
monthly_branch_wise_BLR,catboost,5,2991.020978716583,2388.4778542992176,36.054263228204675,False
monthly_branch_wise_BLR,xgboost,6,3012.671127241591,2529.737829063803,42.21432347657301,False
monthly_branch_wise_BLR,lightgbm,7,3122.5105155598935,2578.5394340952985,40.429322642259834,False
monthly_branch_wise_BLR,sarimax,8,3425.4920172642937,3286.522760225176,120.42893044346269,False
monthly_branch_wise_COK,prophet,1,1415.1462616370757,1156.8722317706038,31.746659590670824,True
monthly_branch_wise_COK,sarimax,2,3421.7959734434858,3062.8917667397473,113.95932619249038,False
monthly_branch_wise_COK,holt_winters,3,3778.0338735508863,3576.217426888887,122.08942418763267,False
monthly_branch_wise_COK,quantile_regression,4,4581.129143530585,4022.2311606322855,72.50154530846486,False
monthly_branch_wise_COK,xgboost,5,4872.230465991948,4079.14891967213,51.6207891978097,False
monthly_branch_wise_COK,random_forest,6,4876.00181873631,4072.563025691826,51.253371185434055,False
monthly_branch_wise_COK,lightgbm,7,4950.686305558175,4119.980700643367,51.99278407748673,False
monthly_branch_wise_COK,catboost,8,5153.118858282343,4366.611971914343,56.22545907412214,False
monthly_branch_wise_MAA,prophet,1,2832.2255750680497,1987.168694842518,16.55255790660118,True
monthly_branch_wise_MAA,holt_winters,2,3726.481001264257,3292.7178125699693,36.254967887682014,False
monthly_branch_wise_MAA,sarimax,3,6112.089943339151,5429.731216896127,62.10133112935347,False
monthly_branch_wise_MAA,random_forest,4,6932.66883807187,5597.234244407379,35.7637069260407,False
monthly_branch_wise_MAA,xgboost,5,7721.969122272899,6189.207939396758,38.894887988951304,False
monthly_branch_wise_MAA,quantile_regression,6,7845.806344945894,6831.634131903429,53.06295260885212,False
monthly_branch_wise_MAA,lightgbm,7,7992.019055136258,6368.567785632465,37.50618744527485,False
monthly_branch_wise_MAA,catboost,8,8127.992233320855,6286.611677427198,35.992586980096775,False
monthly_branch_wise_SBD,prophet,1,1514.3273917543174,978.8355713475855,23.958627848077835,True
monthly_branch_wise_SBD,holt_winters,2,3357.4708448845136,2993.535248298325,67.60749933553697,False
monthly_branch_wise_SBD,random_forest,3,10609.20907022938,8256.547552718745,63.89917960986953,False
monthly_branch_wise_SBD,sarimax,4,10910.257473503994,10327.200428435797,221.87358065872007,False
monthly_branch_wise_SBD,xgboost,5,10927.548490600999,8703.238556498298,65.16880394513116,False
monthly_branch_wise_SBD,catboost,6,11130.25103328239,8531.665695580696,55.23691618206065,False
monthly_branch_wise_SBD,lightgbm,7,11514.26730659121,9138.44111951721,64.99935819751035,False
monthly_branch_wise_SBD,quantile_regression,8,11619.599441223263,10064.022135314115,89.8009783656082,False
monthly_branch_wise_SBD1,prophet,1,2733.9138986579874,1947.3581041111743,47.05533436689128,True
monthly_branch_wise_SBD1,holt_winters,2,2813.629324927398,2741.3094232725866,91.4354699771766,False
monthly_branch_wise_SBD1,sarimax,3,3960.893390990862,3785.403511811576,134.5103721343583,False
monthly_branch_wise_SBD1,xgboost,4,6066.315823138607,5555.726175457203,110.42367915472032,False
monthly_branch_wise_SBD1,random_forest,5,6652.725801694789,5659.704816503291,61.49107516666907,False
monthly_branch_wise_SBD1,catboost,6,7192.944098572852,6084.635913968918,66.65926685188433,False
monthly_branch_wise_SBD1,lightgbm,7,7198.224937122633,6089.925966089937,66.82461270022458,False
monthly_branch_wise_SBD1,quantile_regression,8,8139.690607094287,6910.086351015655,89.66904172573817,False
monthly_combined_combined,prophet,1,7035.919098160521,5491.445181969348,18.163851885761513,True
monthly_combined_combined,holt_winters,2,12296.44662528048,11805.421187807291,52.05351989864723,False
monthly_combined_combined,sarimax,3,29592.219648713886,28298.78535788449,127.69168327269085,False
monthly_combined_combined,random_forest,4,31504.49034120525,25886.707274121083,44.888853960692835,False
monthly_combined_combined,quantile_regression,5,32944.883727440465,29243.69950314822,66.45079820867169,False
monthly_combined_combined,xgboost,6,33282.76379018569,27839.997235180283,49.40679077259597,False
monthly_combined_combined,lightgbm,7,34578.87977972143,28478.539181632732,48.09917224151211,False
monthly_combined_combined,catboost,8,34757.22632812651,27997.7569090722,44.09514324664922,False
